Dataset,Camada,M1 BI (Cosseno),M1 BI (Angular),M1 Ângulo (Graus),M1 Rank Poda,M2 BI (Cosseno),M2 BI (Angular),M2 Ângulo (Graus),M2 Rank Poda
cora,0,0.07818039041012526,0.12493896204978228,22.48901316896081,6,0.10571387130767107,0.14471583906561136,26.048851031810045,7
cora,1,0.07713684346526861,0.12416313588619232,22.349364459514618,5,0.09281683806329966,0.1360426777973771,24.48768200352788,5
cora,2,0.1530519463121891,0.17447897605597973,31.40621569007635,8,0.16065821889787912,0.1802924806252122,32.452646512538195,8
cora,3,0.09549339348450303,0.13520673476159573,24.33721225708723,7,0.09412144077941775,0.13633128628134727,24.53963153064251,6
cora,4,0.02218007482588291,0.063523112796247,11.434160303324461,4,0.02375609870068729,0.0661403969861567,11.905271457508206,3
cora,5,0.00793490931391716,0.038386537693440914,6.9095767848193645,2,0.009515778452623636,0.04136670962907374,7.446007733233273,2
cora,6,0.005545397259993479,0.03292350680567324,5.9262312250211835,1,0.008060924476012588,0.03973859059624374,7.152946307323873,1
cora,7,0.019596382859162986,0.061043813824653625,10.987886488437653,3,0.029732739785686135,0.07603139989078045,13.68565198034048,4
pubmed,0,0.07541397400200367,0.12284394539892673,22.111910171806812,5,0.11067937314510345,0.14764227345585823,26.57560922205448,7
pubmed,1,0.07625923957675695,0.1232264032587409,22.180752586573362,6,0.09547669207677245,0.13790881354361773,24.82358643785119,6
pubmed,2,0.1487729251384735,0.17189204134047031,30.940567441284657,8,0.16076460666954517,0.18006321508437395,32.41137871518731,8
pubmed,3,0.09232521336525679,0.13246036879718304,23.842866383492947,7,0.09150021569803357,0.1338838916271925,24.09910049289465,5
pubmed,4,0.0214649768313393,0.06265425868332386,11.277766562998295,4,0.022713032085448503,0.06492370646446943,11.686267163604498,3
pubmed,5,0.007900674070697278,0.038564468966796994,6.941604414023459,2,0.00896326155634597,0.04046326479874551,7.283387663774192,2
pubmed,6,0.0056496500328648835,0.033319651847705245,5.997537332586944,1,0.007884133025072515,0.0393460663035512,7.0822919346392155,1
pubmed,7,0.019620518432930112,0.06103931274265051,10.987076293677092,3,0.029779628617689013,0.07609383203089237,13.696889765560627,4
synthetic,0,0.07925999537110329,0.12661645840853453,22.790962513536215,6,0.09237649384886026,0.13724817894399166,24.7046722099185,7
synthetic,1,0.06855427380651236,0.11775015015155077,21.19502702727914,5,0.08793967310339212,0.1339875077828765,24.11775140091777,6
synthetic,2,0.16090837679803371,0.18108197301626205,32.59475514292717,8,0.17079984303563833,0.18716302886605263,33.68934519588947,8
synthetic,3,0.11666805110871792,0.1520037492737174,27.360674869269133,7,0.07151398714631796,0.11895966436713934,21.41273958608508,5
synthetic,4,0.02302160277031362,0.06481233611702919,11.666220501065254,4,0.01612741028657183,0.053243945352733135,9.583910163491964,3
synthetic,5,0.006429132161429152,0.03490670141763985,6.283206255175173,2,0.007525798107963055,0.03704761969856918,6.668571545742452,1
synthetic,6,0.0045142051531001925,0.02983263391070068,5.369874103926122,1,0.0076870383927598596,0.038840791676193476,6.991342501714826,2
synthetic,7,0.019074009731411934,0.06060393573716283,10.90870843268931,3,0.029460506164468825,0.0757956481538713,13.643216667696834,4
